日付,カテゴリ,項目,収入,支出
2024-01-01,収入,給料,300000,0
2024-01-02,食費,スーパー,0,5000
2024-01-03,交通費,電車,0,1200
2024-01-05,食費,コンビニ,0,800
2024-01-07,光熱費,電気代,0,12000
2024-01-07,光熱費,ガス代,0,8000
2024-01-08,食費,外食,0,3500
2024-01-10,娯楽,映画,0,2000
2024-01-12,食費,スーパー,0,4200
2024-01-15,収入,副業,50000,0
2024-01-15,医療費,病院,0,3000
2024-01-18,食費,外食,0,2800
2024-01-20,日用品,ドラッグストア,0,2500
2024-01-22,食費,スーパー,0,4800
2024-01-25,娯楽,書籍,0,1500
2024-01-27,交通費,バス,0,600
2024-01-28,食費,外食,0,4200
2024-01-30,光熱費,水道代,0,5000
2024-02-01,収入,給料,300000,0
2024-02-02,食費,スーパー,0,5500
2024-02-03,交通費,電車,0,1200
2024-02-05,食費,コンビニ,0,600
2024-02-07,光熱費,電気代,0,13000
2024-02-07,光熱費,ガス代,0,9000
2024-02-08,食費,外食,0,2800
2024-02-10,娯楽,ゲーム,0,8000
2024-02-12,食費,スーパー,0,4000
2024-02-15,収入,副業,40000,0
2024-02-15,医療費,薬局,0,1200
2024-02-18,食費,外食,0,3200
2024-02-20,日用品,ホームセンター,0,3000
2024-02-22,食費,スーパー,0,5200
2024-02-25,娯楽,映画,0,2000
2024-02-27,交通費,タクシー,0,2500
2024-02-28,食費,外食,0,3800